nohup: 忽略输入
[I 2025-09-28 20:20:39,628] Trial 81 finished with value: 1.9748671054840088 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:43,860] Trial 82 finished with value: 1.9767435789108276 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 248}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:49,991] Trial 83 finished with value: 1.9553256034851074 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 256}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:52,450] Trial 84 finished with value: 1.9422322511672974 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 248}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:56,664] Trial 85 finished with value: 1.948032259941101 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 226}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:01,427] Trial 86 finished with value: 1.9777488708496094 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 236}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:05,779] Trial 87 finished with value: 1.873084306716919 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 217}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:09,217] Trial 88 finished with value: 1.974673867225647 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.4, 'hidden_dim': 236}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:13,306] Trial 89 finished with value: 1.9652496576309204 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 229}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:16,602] Trial 90 finished with value: 1.968700885772705 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 235}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:19,524] Trial 91 finished with value: 1.9748671054840088 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:23,594] Trial 92 finished with value: 1.976750135421753 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 252}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:27,937] Trial 93 finished with value: 1.976750135421753 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 252}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:31,904] Trial 94 finished with value: 1.9719847440719604 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 251}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:35,970] Trial 95 finished with value: 1.976750135421753 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 252}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:38,688] Trial 96 finished with value: 1.9433090686798096 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 87}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:43,349] Trial 97 finished with value: 1.9702303409576416 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 253}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:47,266] Trial 98 finished with value: 1.9342987537384033 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 256}. Best is trial 43 with value: 1.9781925678253174.
