nohup: 忽略输入
[I 2025-09-25 21:01:18,343] Trial 114 finished with value: 1.9700434271593927 and parameters: {'hidden_size_1': 239, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:19,473] Trial 115 finished with value: 1.9808028247465457 and parameters: {'hidden_size_1': 251, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:20,681] Trial 116 finished with value: 1.9731082025532367 and parameters: {'hidden_size_1': 252, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:21,825] Trial 117 finished with value: 1.9779582160052835 and parameters: {'hidden_size_1': 233, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:22,809] Trial 118 finished with value: 1.9722360116927695 and parameters: {'hidden_size_1': 216, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:23,921] Trial 119 finished with value: 1.975527481983963 and parameters: {'hidden_size_1': 208, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:24,960] Trial 120 finished with value: 1.9809171467420887 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:25,678] Trial 121 finished with value: 1.9796698744003303 and parameters: {'hidden_size_1': 248, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:26,449] Trial 122 finished with value: 1.9820423300831713 and parameters: {'hidden_size_1': 253, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:27,296] Trial 123 finished with value: 1.976967634161432 and parameters: {'hidden_size_1': 255, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:28,206] Trial 124 finished with value: 1.9809171467420887 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
